filename,gender,race
00002_940928_fa_converted_final.png,0,0
00003_941121_fa_converted_final.png,0,1
00006_931230_fa_converted_final.png,0,0
00013_931230_fa_converted_final.png,1,0
00019_940422_fa_converted_final.png,0,0
00020_931230_fa_converted_final.png,1,2
00029_960620_fa_converted_final.png,0,2
00040_931230_fa_converted_final.png,1,0
00043_931230_fa_converted_final.png,1,4
00044_931230_fa_converted_final.png,1,2
00045_931230_fa_a_converted_final.png,1,2
00046_931230_fa_converted_final.png,0,2
00047_931230_fa_converted_final.png,1,2
00048_931230_fa_a_converted_final.png,0,0
00049_931230_fa_converted_final.png,0,0
00050_931230_fa_converted_final.png,0,0
00051_931230_fa_converted_final.png,0,0
00052_931230_fa_converted_final.png,1,0
00053_931230_fa_converted_final.png,1,0
00054_931230_fa_a_converted_final.png,0,2
00055_931230_fa_a_converted_final.png,0,2
00056_931230_fa_converted_final.png,0,4
00057_931230_fa_converted_final.png,1,0
00058_931230_fa_converted_final.png,0,2
00059_931230_fa_converted_final.png,0,0
00060_931230_fa_converted_final.png,1,2
00061_931230_fa_converted_final.png,1,2
00062_931230_fa_converted_final.png,0,0
00063_931230_fa_converted_final.png,0,3
00064_931230_fa_converted_final.png,0,0
00065_931230_fa_converted_final.png,1,0
00066_931230_fa_a_converted_final.png,0,4
00067_931230_fa_a_converted_final.png,0,0
00068_931230_fa_converted_final.png,1,0
00069_931230_fa_converted_final.png,0,4
00070_940307_fa_converted_final.png,0,4
00071_931230_fa_converted_final.png,1,0
00072_931230_fa_converted_final.png,1,0
00073_931230_fa_converted_final.png,0,0
00074_931230_fa_a_converted_final.png,0,0
00075_931230_fa_converted_final.png,0,0
00076_931230_fa_converted_final.png,0,0
00077_931230_fa_converted_final.png,0,4
00078_931230_fa_a_converted_final.png,0,0
00079_931230_fa_a_converted_final.png,0,0
00080_931230_fa_converted_final.png,0,0
00081_931230_fa_converted_final.png,0,0
00082_931230_fa_converted_final.png,0,0
00083_931230_fa_a_converted_final.png,0,0
00084_931230_fa_converted_final.png,1,0
00085_931230_fa_converted_final.png,0,0
00086_931230_fa_converted_final.png,0,0
00087_931230_fa_a_converted_final.png,1,0
00088_931230_fa_a_converted_final.png,0,2
